,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,,,,,,,,,,,,,,,,,,,,,,,57.0161,37.6447,54.6078,45.812,100.4557,159.4754,120.5216,
Brazil,54.3248,43.9931,45.1989,52.877,114.5687,115.5228,96.3456,145.4095,105.2491,74.0666,65.9769,37.0458,30.9089,42.8184,56.3302,87.09,87.0178,98.2955,109.2581,100.7993,133.9954,224.26,152.2879,102.1379,134.6969,104.4866,107.8306,110.4757,90.7803,81.483
Ethiopia,61.09,68.1911,61.2061,61.7186,109.546,115.0172,67.7365,91.0557,91.8639,65.6448,56.421,43.7795,26.8781,34.5679,48.8512,64.2276,58.3172,69.829,71.7101,77.0621,85.4598,145.4623,102.7897,73.3004,83.2356,76.0297,87.3074,81.5073,70.6786,69.3104
Indonesia,,,,115.5349,173.5073,,,112.2585,99.4085,,68.4091,53.6054,59.6569,42.0479,80.6176,117.0379,107.5163,117.9882,,,,,,,,,,,,
Phillippines,,,55.7355,54.1985,99.6167,106.301,76.3125,79.7375,81.8728,64.8877,37.044,49.3555,21.738,60.6343,66.2305,79.9997,61.5072,81.3725,95.5242,,,,262.0105,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,203.4373,113.3269,124.5841,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,84.4656,,,,,,,
