,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Congo,2.924,3.003,3.171,3,7.585,11.755,13.86,3.27,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.002,3,3,3.0001,3.013,3.0006
Cuba,414.212,302.097,284.237,285.404,284.315,284.955,365.865,300.021,279.953,327.9874,312.4345,284.974,239.105,223.507,179.984,99.5833,104.85,109.8567,133.4523,92.103,108.497,100.158,88.142,106.685,101.421,99.8181,102.6,113.2259,127.651,130.1829
Dominican Republic,880.062,320.56,637.815,603.944,729.67,885.625,518.848,941.242,486.592,606.879,467.038,386.958,455.198,350.673,490.679,310.0469,386.6671,464.9084,645.0295,352.4645,378.1562,490.5415,488.4307,425.3936,396.9541,399.9543,412.2085,412.4251,430.9097,401.6348
Haiti,392.88,463.352,499.855,450.697,450.246,513.945,428.387,431.818,439.247,399.027,419.85,402.64,373.945,373.842,365.211,356.0064,362.112,359.4114,358.6822,350.5835,349.5281,349.1949,349.7319,345.2098,343.2067,340.8647,341.5781,342.3802,346.8916,346.6495
Philippines,973.632,1018.482,919.851,874.855,876.764,849.59,889.819,935.472,676.729,621.7634,340.9218,262.682,255.21,292.691,354.813,432.3372,441.1089,445.6113,586.8337,730.4181,189.0533,179.6611,177.4616,185.682,193.2142,208.0726,214.6417,203.3179,206.2102,306.5344
Tanzania,931.779,789.977,786.434,734.375,679.024,897.121,763.94,623.78,739.312,842.2181,808.8714,624.089,823.609,611.734,763.182,804.4066,821.807,809.7958,1186.2823,674.9343,845.9077,641.0391,1151.1215,810.9352,752.6685,930.172,846.0919,783.4034,1174.8593,926.3925
Zambia,22.686,29.138,29.307,26.606,21.455,26.333,33.025,38.462,61.686,58.725,93.374,99.672,118.927,100.333,110.377,102.936,56.0696,61.4737,34.6967,28.217,13.1783,11.1889,5.3695,10.7527,2.6111,3.689,13.3181,18.6156,34.2825,14.5428
