,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Colombia,69.523,67.1251,54.5709,50.1234,85.9942,99.6231,93.5556,133.1672,102.0805,86.3828,74.9587,57.9505,52.5669,48.343,60.8325,89.2214,89.8083,100.0535,114.2209,138.9551,180.5484,239.6763,166.6921,113.9086,159.7125,119.4042,123.5571,125.7612,113.5179,108.6836
Kenya,60.5721,50.6778,28.9495,47.6419,152.6058,140.1651,110.036,183.9967,179.8972,105.1914,72.9797,69.403,67.6698,41.0724,71.0095,,,,,,,,,,,,,,,
Tanzania,40.8183,49.5039,49.1581,38.2833,62.1553,86.7599,62.5345,118.5236,90.7025,65.8769,54.3175,34.8622,25.9279,24.7808,26.3711,43.6924,42.7651,59.7769,63.3829,,,,,,,,,,,
