,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mexico,4674.245,4727.206,3400.811,5023.488,4158.777,5299.888,5109.551,4801.561,4801.348,6218.6765,4814.9789,4438.404,4351.426,4201.0193,3867.3474,4224.6637,4200.3381,4150.3183,4650.6492,4108.6243,4001.4319,4561.0578,4326.9422,3916.4766,3636.4007,2772.0393,3635.2949,4484.5814,4350.7012,3984.6011
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.95,1.3,2.25,1.2574,1.4624,1.1083,3.0825,2.0111,1.2073,0.9054,2.1378,1.6763,1.4328,2.4527,0.5492,0.6943
Nicaragua,461.078,707.067,547.294,706.13,682.969,984.676,793.305,1083.523,1073.08,1554.0548,1572.4326,1078.752,1170.017,1509.098,1068.077,1431.8115,1427.9262,1905.6714,1444.7342,1871.1206,1637.8216,2193.421,1873.4749,2059.8628,1897.6828,2130.4221,2555.2981,2642.2854,2879.1004,2882.3199
Nigeria,29.19,44.313,48.882,45.319,51.631,53.038,45.975,44.667,53.405,45.067,49.431,44.003,49.815,46.1504,45.1379,68.5718,50.7351,42.1658,50.0048,34.2687,42.0553,46.8796,40.7637,40.8582,42.7982,41.2782,43.3182,42.2881,41.5248,42.4695
Panama,214.987,192.532,196.978,142.066,248.313,209.448,210.742,217.469,191.996,166.381,170.226,159.939,139.962,172.062,90.3892,176.3307,173.1015,176.0553,149.1609,137.7393,113.8499,105.6314,115.5198,113.4685,106.2169,127.0784,120.1902,104.5621,127.7443,114.4053
Sierra Leone,42.783,54.379,39.084,37.451,72.738,43.768,40.91,49.679,26.882,59.02,49.155,79.2,41.7289,35.5163,14.5255,59.9662,31.472,40.0011,86.2856,90.7017,32.9146,78.2979,61.1833,31.7346,46.4478,45.9276,37.9217,37.9464,44.7431,39.9871
Sri Lanka,95.87,81.549,53.181,53.79,42.448,35.595,36.999,57.584,45.738,31.716,33.28,31.531,34.3807,36.8942,31.6437,34.9432,32.875,33.4906,30.8644,31.5032,37.0877,35.6993,35.2484,37.0825,35.7018,36.1933,36.7161,36.7829,35.8776,36.2187
Thailand,757.017,1468.936,1254.945,1275.201,1399.135,1317.226,1403.581,1293.076,915.986,1272.8378,1692.2342,714.5,731.9,826.567,884.383,1063.9651,822.4689,650.4208,674.5626,794.7965,828.1734,831.2755,608.0946,638.0038,844.8871,761.9808,537.5435,638.2325,482.0069,516.5783
Togo,161.308,432.652,85.648,194.939,176.296,84.401,290.586,221.078,321.486,262.808,197.401,112.018,68.205,143.792,165.522,140.0759,133.95,125.131,137.7531,201.8831,160.2912,160.047,84.0589,171.5059,143.2417,80.9232,23.2772,114.7158,54.2631,40.617
Trinidad & Tobago,14.581,17.792,14.328,16.079,18.435,17.629,18.188,19.392,17.018,16.89,16.393,16.165,16.5524,16.0967,15.1235,14.8624,11.6981,12.1349,11.4194,11.4069,10.3587,11.1577,12.2272,12.2242,12.0013,11.7897,11.7911,12.0009,13.3198,11.691
Uganda,1955.009,2088.001,2185.074,3141.706,2392.753,3243.584,3418.724,3439.868,3385.839,2862.447,3400.683,3157.777,2890.058,2598.532,2612.619,2175.201,2894.16,3489.648,3335.167,2893.876,3267.232,3115.063,3913.502,3632.867,3744.477,3649.567,4962.158,4596.813,4703.964,5509.154
Venezuela,1122.477,940.704,1215.298,1332.881,988.996,1466.554,1206.162,951.285,1597.279,1366.835,1449.924,1264.613,1483.5896,1420.5247,1326.5336,1506.3009,1570.8961,1520.4505,932.4219,1213.7061,1202.1338,902.0717,952.4201,803.7688,650.3983,500.1259,525,571.5128,578.389,650.1046
Viet Nam,1310.288,1437.848,2340.447,3020.216,3631.609,3970.086,5752.481,6978.942,7051.722,11630.9138,14841.309,13093.244,11573.935,15337.352,14370.453,13841.8363,19339.7501,16405.0988,18438.1201,17825.3453,19999.9999,26499.6111,23402.1057,27609.7814,27240.5219,31090.0419,27819.1762,33432.499,30283.0748,30487.1644
Yemen,0,0,0,0,0,0,0,0,68.7007,60.579,63.936,62.2185,56.7446,193.3027,205.5589,203.1808,207.234,197.9537,219.7968,135.1816,161.1675,185.0677,187.5251,187.2981,178.3814,156.246,143.4533,132.1281,85.5762,91.4278
